robot_id,node_id,ETA
A1,N02,7.4
A1,N12,13.8
A1,N22,21.0
A1,N23,28.0
A1,N24,34.6
A1,N14,42.0
A1,N24,51.800000000000004
A1,N34,57.2
A1,N33,67.2
A1,N23,101.4
A1,N13,108.2
A1,N03,136.20000000000002
A1,N02,142.20000000000002
A1,N01,153.60000000000002
A2,N33,7.4
A2,N32,54.0
A2,N22,61.2
A2,N12,68.2
A2,N13,75.0
A2,N14,87.0
A2,N04,94.4
A2,N03,101.2
A2,N02,108.2
A2,N03,118.2
A2,N04,123.2
A2,N14,129.4
A2,N24,136.20000000000002
A2,N34,147.6
A3,N21,27.200000000000003
A3,N11,34.2
A3,N12,41.2
A3,N13,48.0
A3,N03,54.800000000000004
A3,N02,63.400000000000006
A3,N01,70.4
A3,N11,77.4
A3,N21,84.4
A3,N31,96.2
A4,N14,67.4
A4,N24,74.60000000000001
A4,N23,81.4
A4,N22,88.2
A4,N21,104.0
A4,N22,114.0
A4,N23,121.2
A4,N24,156.8
A4,N14,163.4
A4,N04,253.60000000000002
