robot_id,node_id,ETA
A1,N01,0.0
A1,N02,7.0
A1,N12,14.0
A1,N22,21.0
A1,N23,28.0
A1,N24,35.0
A1,N14,42.0
A1,N24,49.0
A1,N34,56.0
A1,N33,63.0
A2,N34,0.0
A2,N33,7.0
A2,N32,54.09
A2,N22,61.09
A2,N12,68.09
A2,N13,75.09
A2,N14,82.09
A2,N04,89.09
A2,N03,96.09
A2,N02,103.09
A3,N31,0.0
A3,N21,7.0
A3,N11,34.04
A3,N12,41.04
A3,N13,48.44
A3,N03,55.44
A3,N02,62.44
A3,N01,69.44
A3,N11,76.44
A4,N04,0.0
A4,N14,43.0
A4,N24,74.13
A4,N23,81.13
A4,N22,88.13
A4,N21,95.13
A4,N22,102.13
A4,N23,109.13
A4,N24,116.13
